trial,condition,eccentricity,magnitude,correct,srt_ms,keyboard_rt_ms,pre_change_ms,valid
1,control,5.0,20,1,196.71201705932617,559.0107440948486,1306,1
2,control,6.0,20,1,660.8157157897949,660.8126163482666,846,1
3,control,7.0,20,1,99.7321605682373,659.4319343566895,838,1
4,control,8.0,20,1,559.5450401306152,559.5409870147705,1268,1
5,control,9.0,20,1,627.0279884338379,627.0251274108887,1413,1
6,control,10.0,20,1,658.3750247955322,658.3712100982666,1005,1
7,control,11.0,20,1,562.575101852417,562.5720024108887,835,1
8,control,12.0,20,1,459.99693870544434,459.9957466125488,1179,1
9,control,13.0,20,1,264.3110752105713,625.9551048278809,928,1
10,control,14.0,20,1,526.9279479980469,526.9238948822021,924,1
11,control,15.0,20,1,463.66190910339355,463.65904808044434,982,1
12,control,16.0,20,1,462.6941680908203,462.6932144165039,1390,1
13,control,17.0,20,1,561.0659122467041,561.0642433166504,864,1
14,control,18.0,20,1,461.3330364227295,461.3320827484131,860,1
15,control,19.0,20,1,558.6979389190674,558.6910247802734,1064,1
16,control,20.0,20,1,757.7118873596191,757.7080726623535,1147,1
17,control,21.0,20,0,1384.2267990112305,1384.2239379882812,1080,1
18,control,22.0,20,1,714.1318321228027,714.1308784484863,874,1
19,control,23.0,20,1,616.0891056060791,616.0881519317627,1326,1
20,control,24.0,20,1,823.1244087219238,823.1191635131836,995,1
21,control,25.0,20,1,461.381196975708,461.3790512084961,1450,1
22,control,26.0,20,0,825.5558013916016,825.5558013916016,1449,1
23,control,27.0,20,1,823.8410949707031,823.8379955291748,883,1
24,control,28.0,20,1,559.67116355896,559.6671104431152,804,1
25,control,29.0,20,1,432.4331283569336,432.4312210083008,1193,1
26,control,30.0,20,1,633.6359977722168,633.6328983306885,1272,1
27,control,5.0,20,1,99.4722843170166,462.1570110321045,1238,1
28,control,6.0,20,1,527.1289348602295,527.1210670471191,944,1
29,control,7.0,20,1,669.111967086792,669.1060066223145,1309,1
30,control,8.0,20,1,98.75679016113281,625.762939453125,885,1
31,control,9.0,20,1,98.83594512939453,569.7250366210938,809,1
32,control,10.0,20,1,98.8306999206543,560.5587959289551,1181,1
33,control,11.0,20,1,460.7961177825928,460.79111099243164,1454,1
34,control,12.0,20,1,1474.151849746704,1474.1508960723877,947,1
35,control,13.0,20,1,823.3458995819092,823.3449459075928,1345,1
36,control,14.0,20,1,2496.919870376587,2496.9191551208496,930,1
37,control,15.0,20,1,493.4818744659424,493.47877502441406,913,1
38,control,16.0,20,1,491.7449951171875,491.7409420013428,812,1
39,control,17.0,20,1,493.30711364746094,493.3040142059326,1388,1
40,control,18.0,20,1,500.2632141113281,500.2610683441162,1009,1
41,control,19.0,20,1,592.7391052246094,592.7317142486572,1202,1
42,control,20.0,20,1,790.1051044464111,790.1010513305664,1348,1
43,control,21.0,23,1,428.1349182128906,428.1306266784668,1030,1
44,control,22.0,20,1,594.6731567382812,594.6691036224365,1179,1
45,control,23.0,20,1,592.1118259429932,592.1080112457275,1419,1
46,control,24.0,20,1,791.8119430541992,791.8028831481934,1005,1
47,control,25.0,20,1,1604.970932006836,1604.9699783325195,1396,1
48,control,26.0,23,1,582.4320316314697,582.4310779571533,1489,1
49,control,27.0,20,1,482.651948928833,482.6509952545166,1345,1
50,control,28.0,20,1,614.4680976867676,614.4671440124512,1327,1
51,control,29.0,20,1,515.1329040527344,515.1321887969971,985,1
52,control,30.0,20,1,689.3661022186279,689.3651485443115,1149,1
53,control,5.0,17,1,131.14213943481445,427.0462989807129,877,1
54,control,6.0,17,1,99.85899925231934,525.8419513702393,855,1
55,control,7.0,17,1,198.05574417114258,604.252815246582,840,1
56,control,8.0,17,1,98.86312484741211,396.93617820739746,1178,1
57,control,9.0,17,1,725.7978916168213,725.7950305938721,1138,1
58,control,10.0,17,1,426.33795738220215,426.33676528930664,1210,1
59,control,11.0,17,1,1386.1887454986572,1386.185884475708,1487,1
60,control,12.0,17,1,1482.978105545044,1482.9750061035156,846,1
61,control,13.0,17,1,493.5131072998047,493.51000785827637,1096,1
62,control,14.0,17,1,395.2758312225342,395.27297019958496,1150,1
63,control,15.0,17,1,593.998908996582,593.9970016479492,1157,1
64,control,16.0,17,1,394.06394958496094,394.05298233032227,939,1
65,control,17.0,17,1,494.6150779724121,494.6141242980957,822,1
66,control,18.0,17,1,593.5790538787842,593.5750007629395,857,1
67,control,19.0,17,1,1483.6859703063965,1483.6819171905518,1460,1
68,control,20.0,17,1,493.4227466583252,493.4210777282715,847,1
69,control,21.0,23,1,594.3031311035156,594.3019390106201,1341,1
70,control,22.0,17,1,593.7478542327881,593.7438011169434,1266,1
71,control,23.0,17,1,596.7550277709961,596.7509746551514,1030,1
72,control,24.0,17,1,791.0459041595459,791.0442352294922,1184,1
73,control,25.0,17,1,593.8940048217773,593.8911437988281,1185,1
74,control,26.0,23,1,592.3459529876709,592.3440456390381,908,1
75,control,27.0,17,1,494.31514739990234,494.312047958374,999,1
76,control,28.0,17,1,691.3652420043945,691.3599967956543,1188,1
77,control,29.0,17,0,723.4749794006348,723.473072052002,885,1
78,control,30.0,17,1,482.84006118774414,482.83910751342773,1394,1
79,control,5.0,17,1,98.3579158782959,493.49284172058105,1290,1
80,control,6.0,17,1,101.05299949645996,594.6259498596191,1498,1
81,control,7.0,17,1,493.70622634887695,493.70408058166504,1296,1
