trial,condition,eccentricity,magnitude,correct,srt_ms,keyboard_rt_ms,pre_change_ms,valid
1,control,5.0,20,1,98.17123413085938,1087.4853134155273,1014,1
2,control,6.0,20,1,99.44391250610352,923.7480163574219,1040,1
3,control,7.0,20,1,100.91495513916016,805.4230213165283,1449,0
4,control,7.0,20,1,99.04623031616211,892.5061225891113,888,1
5,control,8.0,20,1,100.24714469909668,922.7352142333984,1321,1
6,control,9.0,20,1,682.8250885009766,682.8241348266602,1123,1
7,control,10.0,20,1,200.38986206054688,1091.5589332580566,1290,1
8,control,11.0,20,1,792.3457622528076,792.3457622528076,811,1
9,control,12.0,20,1,98.76298904418945,822.443962097168,817,1
10,control,13.0,20,0,1607.3250770568848,1607.3229312896729,940,1
11,control,14.0,20,1,1093.3866500854492,1093.385934829712,915,1
12,control,15.0,20,1,791.4338111877441,791.4307117462158,1389,1
13,control,16.0,20,1,789.7520065307617,789.7439002990723,1361,1
14,control,17.0,20,1,791.1410331726074,791.1379337310791,1323,1
15,control,18.0,20,1,691.1458969116211,691.1439895629883,819,0
16,control,18.0,20,1,891.4289474487305,891.4258480072021,1002,1
17,control,19.0,20,1,892.8451538085938,892.8370475769043,1371,0
18,control,19.0,20,1,1206.6879272460938,1206.6872119903564,949,1
19,control,20.0,20,1,725.6507873535156,725.6491184234619,1326,1
20,control,21.0,20,1,692.7738189697266,692.7731037139893,1161,1
21,control,22.0,20,1,725.2800464630127,725.2790927886963,1357,1
22,control,23.0,20,1,791.3930416107178,791.3861274719238,1386,1
23,control,24.0,20,1,693.2449340820312,693.2437419891357,1243,1
24,control,25.0,20,1,703.1331062316895,703.1290531158447,1039,1
25,control,26.0,20,1,813.4829998016357,813.4820461273193,1384,1
26,control,27.0,20,1,691.7979717254639,691.7939186096191,1114,1
27,control,28.0,20,1,802.8528690338135,802.8509616851807,888,1
28,control,29.0,20,1,791.8331623077393,791.8257713317871,806,1
29,control,30.0,20,1,880.5849552154541,880.5840015411377,1070,1
30,control,5.0,20,1,99.31015968322754,496.4580535888672,1328,1
31,control,6.0,20,1,90.16203880310059,781.4228534698486,1351,1
32,control,7.0,20,1,99.09772872924805,890.2180194854736,969,1
33,control,8.0,20,1,825.2081871032715,825.2050876617432,1136,1
34,control,9.0,20,1,198.13013076782227,693.3639049530029,1214,1
35,control,10.0,20,1,779.059886932373,779.0589332580566,1104,1
36,control,11.0,20,1,695.51682472229,695.5127716064453,1188,1
37,control,12.0,20,1,692.6159858703613,692.6112174987793,1284,1
38,control,13.0,23,1,683.2079887390137,683.2070350646973,1251,1
39,control,14.0,20,1,698.8279819488525,698.8229751586914,1192,1
40,control,15.0,20,1,792.1977043151855,792.1957969665527,1325,1
41,control,16.0,20,1,1187.3509883880615,1187.3459815979004,1312,0
42,control,16.0,20,1,933.0348968505859,933.0339431762695,953,1
43,control,17.0,20,1,493.36981773376465,493.3650493621826,858,1
44,control,18.0,20,1,426.28002166748047,426.27835273742676,901,1
45,control,19.0,20,1,824.1100311279297,824.1090774536133,1318,1
46,control,20.0,20,1,715.1350975036621,715.1329517364502,1176,1
47,control,21.0,20,1,494.4589138031006,494.45462226867676,849,0
48,control,21.0,20,1,624.5119571685791,624.504804611206,919,0
49,control,21.0,20,1,922.9297637939453,922.9271411895752,1048,1
50,control,22.0,20,1,483.39200019836426,483.39104652404785,882,1
51,control,23.0,20,1,792.8087711334229,792.8080558776855,907,1
52,control,24.0,20,1,626.3158321380615,626.3151168823242,1455,1
53,control,25.0,20,1,1692.676067352295,1692.6729679107666,1417,1
54,control,26.0,20,1,788.1722450256348,788.1653308868408,1399,1
55,control,27.0,20,1,681.1859607696533,681.1850070953369,1255,1
56,control,28.0,20,1,1100.4188060760498,1100.4140377044678,1316,1
57,control,29.0,20,1,691.8952465057373,691.8902397155762,1183,1
58,control,30.0,20,1,692.9206848144531,692.9199695587158,927,1
59,control,5.0,17,1,99.63011741638184,493.4959411621094,860,1
60,control,6.0,17,1,99.74884986877441,1672.7089881896973,1080,1
61,control,7.0,17,1,99.25413131713867,693.4511661529541,1176,1
62,control,8.0,17,1,197.6149082183838,792.2060489654541,1319,1
63,control,9.0,17,1,582.7240943908691,582.7240943908691,1413,1
64,control,10.0,17,1,485.14580726623535,485.14485359191895,905,1
65,control,11.0,17,1,484.2991828918457,484.2979907989502,825,1
66,control,12.0,17,1,893.3038711547852,893.298864364624,1121,1
67,control,13.0,23,1,504.3630599975586,504.35900688171387,1176,1
68,control,14.0,17,1,1187.1819496154785,1187.1790885925293,868,1
69,control,15.0,17,1,594.3231582641602,594.3200588226318,1108,1
70,control,16.0,17,1,901.4191627502441,901.4151096343994,1019,1
71,control,17.0,17,1,991.6489124298096,991.6479587554932,1224,1
72,control,18.0,17,1,592.1478271484375,592.1409130096436,1050,1
73,control,19.0,17,1,701.6928195953369,701.6808986663818,842,1
74,control,20.0,17,1,725.5878448486328,725.5861759185791,1430,1
75,control,21.0,17,1,790.7989025115967,790.795087814331,1329,1
76,control,22.0,17,1,690.356969833374,690.3550624847412,1329,1
77,control,23.0,17,1,494.3578243255615,494.3568706512451,1343,1
78,control,24.0,17,1,891.1280632019043,891.1271095275879,1457,1
79,control,25.0,17,1,695.3818798065186,695.3799724578857,1286,1
80,control,26.0,17,1,584.1343402862549,584.1331481933594,1327,1
81,control,27.0,17,1,593.7440395355225,593.7390327453613,1005,1
82,control,28.0,17,1,1013.5560035705566,1013.5540962219238,1317,1
83,control,29.0,17,1,1208.6961269378662,1208.6951732635498,851,1
84,control,30.0,17,1,1176.788091659546,1176.7871379852295,1020,1
85,control,5.0,17,1,198.64487648010254,682.0359230041504,1365,1
86,control,6.0,17,1,593.1620597839355,593.1577682495117,1099,1
