eccentricity,threshold_est,n_trials,accuracy,P_above_chance,abandoned,detectable_range,condition
5.0,5.0,10.0,1.0,0.9995,0,5.0° to 30°,control
6.0,5.0,10.0,1.0,0.9995,0,5.0° to 30°,control
7.0,5.0,10.0,1.0,0.9995,0,5.0° to 30°,control
8.0,14.0,10.0,0.9,0.9941,0,14.0° to 30°,control
9.0,5.0,10.0,1.0,0.9995,0,5.0° to 30°,control
10.0,5.0,10.0,1.0,0.9995,0,5.0° to 30°,control
11.0,5.0,10.0,1.0,0.9995,0,5.0° to 30°,control
12.0,5.0,10.0,1.0,0.9995,0,5.0° to 30°,control
13.0,11.0,10.0,0.9,0.9941,0,11.0° to 30°,control
14.0,5.0,10.0,1.0,0.9995,0,5.0° to 30°,control
15.0,15.5,10.0,0.9,0.9941,0,15.5° to 30°,control
16.0,14.0,10.0,0.9,0.9941,0,14.0° to 30°,control
17.0,11.0,10.0,0.9,0.9941,0,11.0° to 30°,control
18.0,14.0,10.0,0.9,0.9941,0,14.0° to 30°,control
19.0,5.0,10.0,1.0,0.9995,0,5.0° to 30°,control
20.0,8.0,9.0,1.0,,0,8.0° to 30°,control
21.0,20.0,9.0,0.7777777777777778,,0,20.0° to 30°,control
22.0,8.0,9.0,1.0,,0,8.0° to 30°,control
23.0,18.5,9.0,0.8888888888888888,,0,18.5° to 30°,control
24.0,8.0,9.0,1.0,,0,8.0° to 30°,control
25.0,15.5,9.0,0.8888888888888888,,0,15.5° to 30°,control
26.0,22.5,9.0,0.7777777777777778,,0,22.5° to 30°,control
27.0,11.0,9.0,0.8888888888888888,,0,11.0° to 30°,control
28.0,17.0,9.0,0.8888888888888888,,0,17.0° to 30°,control
29.0,18.5,9.0,0.7777777777777778,,0,18.5° to 30°,control
30.0,12.5,9.0,0.8888888888888888,,0,12.5° to 30°,control
5.0,5.0,10.0,1.0,0.9995,0,5.0° to 30°,quadbright
6.0,14.0,10.0,0.9,0.9941,0,14.0° to 30°,quadbright
7.0,8.0,9.0,1.0,,0,8.0° to 30°,quadbright
8.0,8.0,9.0,1.0,,0,8.0° to 30°,quadbright
9.0,8.0,9.0,1.0,,0,8.0° to 30°,quadbright
10.0,8.0,9.0,1.0,,0,8.0° to 30°,quadbright
11.0,8.0,9.0,1.0,,0,8.0° to 30°,quadbright
12.0,15.5,9.0,0.8888888888888888,,0,15.5° to 30°,quadbright
13.0,14.0,9.0,0.8888888888888888,,0,14.0° to 30°,quadbright
14.0,8.0,9.0,1.0,,0,8.0° to 30°,quadbright
15.0,17.0,9.0,0.8888888888888888,,0,17.0° to 30°,quadbright
16.0,11.0,9.0,0.8888888888888888,,0,11.0° to 30°,quadbright
17.0,12.5,9.0,0.8888888888888888,,0,12.5° to 30°,quadbright
18.0,18.5,9.0,0.8888888888888888,,0,18.5° to 30°,quadbright
19.0,15.5,9.0,0.8888888888888888,,0,15.5° to 30°,quadbright
20.0,18.5,9.0,0.7777777777777778,,0,18.5° to 30°,quadbright
21.0,15.5,9.0,0.8888888888888888,,0,15.5° to 30°,quadbright
22.0,11.0,9.0,0.8888888888888888,,0,11.0° to 30°,quadbright
23.0,18.5,9.0,0.8888888888888888,,0,18.5° to 30°,quadbright
24.0,15.5,9.0,0.8888888888888888,,0,15.5° to 30°,quadbright
25.0,11.0,9.0,0.8888888888888888,,0,11.0° to 30°,quadbright
26.0,15.5,9.0,0.8888888888888888,,0,15.5° to 30°,quadbright
27.0,21.5,9.0,0.6666666666666666,,0,21.5° to 30°,quadbright
28.0,20.0,9.0,0.7777777777777778,,0,20.0° to 30°,quadbright
29.0,15.5,9.0,0.8888888888888888,,0,15.5° to 30°,quadbright
30.0,21.5,9.0,0.6666666666666666,,0,21.5° to 30°,quadbright
