trial,condition,eccentricity,magnitude,correct,srt_ms,keyboard_rt_ms,pre_change_ms,valid
1,control,5.0,20,1,561.1250400543213,561.1207485198975,1198,1
2,control,6.0,20,1,65.22798538208008,1354.5269966125488,898,1
3,control,7.0,20,1,100.61883926391602,2925.1980781555176,937,1
4,control,8.0,20,1,68.7401294708252,363.39306831359863,1093,1
5,control,9.0,20,1,538.7508869171143,538.7430191040039,1261,1
6,control,10.0,20,1,429.0170669555664,429.01611328125,1127,1
7,control,11.0,20,1,525.2959728240967,525.2928733825684,1320,1
8,control,12.0,20,0,353.01804542541504,353.01709175109863,1024,1
9,control,13.0,20,1,493.2241439819336,493.22009086608887,1011,1
10,control,14.0,20,1,461.5600109100342,461.5590572357178,1190,1
11,control,15.0,20,1,362.37406730651855,362.37311363220215,1390,1
12,control,16.0,20,1,943.9709186553955,943.9702033996582,935,1
13,control,17.0,20,1,692.7359104156494,692.7340030670166,1065,1
14,control,18.0,20,1,404.4990539550781,404.4959545135498,1353,1
15,control,19.0,20,1,526.716947555542,526.7131328582764,1359,1
16,control,20.0,20,1,528.3777713775635,528.3758640289307,906,1
17,control,21.0,20,1,450.6850242614746,450.6840705871582,1326,1
18,control,22.0,20,1,526.9439220428467,526.9408226013184,877,1
19,control,23.0,20,1,757.960319519043,757.9591274261475,1278,1
20,control,24.0,20,1,518.3889865875244,518.3877944946289,1359,1
21,control,25.0,20,1,459.7797393798828,459.77187156677246,1327,1
22,control,26.0,20,1,525.2118110656738,525.2070426940918,852,1
23,control,27.0,20,1,524.3051052093506,524.3031978607178,1088,1
24,control,28.0,20,1,525.8710384368896,525.8679389953613,1102,1
25,control,29.0,20,1,364.31407928466797,364.3078804016113,808,1
26,control,30.0,20,1,527.6939868927002,527.6930332183838,1025,1
27,control,5.0,20,0,131.97684288024902,361.1888885498047,865,1
28,control,6.0,20,1,124.72391128540039,454.09488677978516,1078,1
29,control,7.0,20,1,65.60683250427246,441.3299560546875,1413,1
30,control,8.0,20,1,131.71124458312988,527.8739929199219,973,1
31,control,9.0,20,1,230.1788330078125,518.064022064209,1124,1
32,control,10.0,20,1,65.89627265930176,526.5462398529053,1329,1
33,control,11.0,20,1,527.6772975921631,527.6761054992676,1315,1
34,control,12.0,23,1,494.3580627441406,494.3540096282959,866,1
35,control,13.0,20,1,624.5858669281006,624.5830059051514,1123,1
36,control,14.0,20,1,622.6658821105957,622.6599216461182,1184,1
37,control,15.0,20,1,493.175745010376,493.17097663879395,832,1
38,control,16.0,20,1,888.6699676513672,888.664960861206,960,1
39,control,17.0,20,1,386.12890243530273,386.12818717956543,1477,1
40,control,18.0,20,1,407.120943069458,407.1168899536133,1261,1
41,control,19.0,20,1,398.0858325958252,398.08201789855957,1206,1
42,control,20.0,20,1,493.7098026275635,493.70408058166504,1020,1
43,control,21.0,20,1,497.1778392791748,497.1740245819092,1147,1
44,control,22.0,20,1,428.2710552215576,428.2710552215576,1076,1
45,control,23.0,20,1,395.8289623260498,395.8289623260498,1188,1
46,control,24.0,20,1,592.1969413757324,592.1940803527832,1464,1
47,control,25.0,20,1,494.98581886291504,494.98486518859863,1118,1
48,control,26.0,20,1,495.45907974243164,495.452880859375,1484,1
49,control,27.0,20,1,584.1820240020752,584.1810703277588,1105,1
50,control,28.0,20,1,594.0399169921875,594.0389633178711,1431,1
51,control,29.0,20,1,594.6638584136963,594.6600437164307,1001,1
52,control,30.0,20,1,593.4171676635742,593.40500831604,1164,1
53,control,5.0,23,1,492.7399158477783,492.7349090576172,1308,1
54,control,6.0,17,1,98.92082214355469,1021.4347839355469,1384,1
55,control,7.0,17,1,100.26407241821289,922.4951267242432,989,1
56,control,8.0,17,1,495.12481689453125,495.12195587158203,839,1
57,control,9.0,17,1,583.1148624420166,583.1139087677002,1366,1
58,control,10.0,17,1,492.4449920654297,492.4359321594238,1176,1
59,control,11.0,17,1,504.4121742248535,504.4090747833252,892,0
60,control,11.0,17,1,197.174072265625,494.71521377563477,1219,1
61,control,12.0,23,1,428.6370277404785,428.6341667175293,934,1
62,control,13.0,17,1,439.4042491912842,439.39924240112305,1020,1
63,control,14.0,17,1,394.1078186035156,394.1049575805664,1383,1
64,control,15.0,17,1,1527.2982120513916,1527.2960662841797,853,1
65,control,16.0,17,1,360.42165756225586,360.41975021362305,975,1
66,control,17.0,17,1,402.88782119750977,402.88376808166504,807,1
67,control,18.0,17,1,581.110954284668,581.1090469360352,1134,1
