eccentricity,threshold_est,n_trials,accuracy,P_above_chance,abandoned,detectable_range,condition
5.0,5.0,14.0,0.9285714285714286,0.9995,0,5.0° to 30°,control
6.0,5.0,14.0,0.9285714285714286,0.9995,0,5.0° to 30°,control
7.0,1.0,14.0,1.0,1.0,0,1.0° to 30°,control
8.0,1.0,14.0,1.0,1.0,0,1.0° to 30°,control
9.0,5.0,14.0,0.9285714285714286,0.9995,0,5.0° to 30°,control
10.0,5.0,14.0,0.9285714285714286,0.9995,0,5.0° to 30°,control
11.0,5.0,14.0,0.9285714285714286,0.9995,0,5.0° to 30°,control
12.0,5.0,14.0,0.9285714285714286,0.9995,0,5.0° to 30°,control
13.0,5.0,14.0,0.9285714285714286,0.9995,0,5.0° to 30°,control
14.0,11.0,14.0,0.9285714285714286,0.9995,0,11.0° to 30°,control
15.0,9.5,13.0,0.9230769230769231,0.9991,0,9.5° to 30°,control
16.0,2.0,13.0,1.0,0.9999,0,2.0° to 30°,control
17.0,8.0,13.0,0.9230769230769231,0.9991,0,8.0° to 30°,control
18.0,8.0,13.0,0.9230769230769231,0.9991,0,8.0° to 30°,control
19.0,6.5,13.0,0.9230769230769231,0.9991,0,6.5° to 30°,control
20.0,8.0,13.0,0.9230769230769231,0.9991,0,8.0° to 30°,control
21.0,2.0,13.0,1.0,0.9999,0,2.0° to 30°,control
22.0,9.5,13.0,0.9230769230769231,0.9991,0,9.5° to 30°,control
23.0,11.0,13.0,0.9230769230769231,0.9991,0,11.0° to 30°,control
24.0,6.5,13.0,0.9230769230769231,0.9991,0,6.5° to 30°,control
25.0,2.0,13.0,1.0,0.9999,0,2.0° to 30°,control
26.0,11.0,13.0,0.8461538461538461,0.9935,0,11.0° to 30°,control
27.0,11.0,13.0,0.8461538461538461,0.9935,0,11.0° to 30°,control
28.0,11.0,13.0,0.8461538461538461,0.9935,0,11.0° to 30°,control
29.0,11.0,13.0,0.8461538461538461,0.9935,0,11.0° to 30°,control
30.0,5.0,13.0,0.9230769230769231,0.9991,0,5.0° to 30°,control
5.0,5.0,13.0,0.9230769230769231,0.9991,0,5.0° to 30°,quadbright
6.0,2.0,13.0,1.0,0.9999,0,2.0° to 30°,quadbright
7.0,8.0,13.0,0.9230769230769231,0.9991,0,8.0° to 30°,quadbright
8.0,5.0,13.0,0.9230769230769231,0.9991,0,5.0° to 30°,quadbright
9.0,2.0,13.0,1.0,0.9999,0,2.0° to 30°,quadbright
10.0,9.5,13.0,0.9230769230769231,0.9991,0,9.5° to 30°,quadbright
11.0,11.0,13.0,0.9230769230769231,0.9991,0,11.0° to 30°,quadbright
12.0,12.5,12.0,0.9166666666666666,0.9983,0,12.5° to 30°,quadbright
13.0,11.0,12.0,0.9166666666666666,0.9983,0,11.0° to 30°,quadbright
14.0,14.0,12.0,0.9166666666666666,0.9983,0,14.0° to 30°,quadbright
15.0,9.5,12.0,0.9166666666666666,0.9983,0,9.5° to 30°,quadbright
16.0,11.0,12.0,0.8333333333333334,0.9888,0,11.0° to 30°,quadbright
17.0,9.5,12.0,0.9166666666666666,0.9983,0,9.5° to 30°,quadbright
18.0,14.5,12.0,0.8333333333333334,0.9888,0,14.5° to 30°,quadbright
19.0,9.5,12.0,0.9166666666666666,0.9983,0,9.5° to 30°,quadbright
20.0,9.5,12.0,0.9166666666666666,0.9983,0,9.5° to 30°,quadbright
21.0,14.0,12.0,0.8333333333333334,0.9888,0,14.0° to 30°,quadbright
22.0,12.5,12.0,0.8333333333333334,0.9888,0,12.5° to 30°,quadbright
23.0,11.0,12.0,0.8333333333333334,0.9888,0,11.0° to 30°,quadbright
24.0,11.0,12.0,0.9166666666666666,0.9983,0,11.0° to 30°,quadbright
25.0,14.0,12.0,0.8333333333333334,0.9888,0,14.0° to 30°,quadbright
26.0,20.5,12.0,0.75,0.9539,0,20.5° to 30°,quadbright
27.0,12.5,12.0,0.9166666666666666,0.9983,0,12.5° to 30°,quadbright
28.0,12.5,12.0,0.9166666666666666,0.9983,0,12.5° to 30°,quadbright
29.0,15.5,12.0,0.9166666666666666,0.9983,0,15.5° to 30°,quadbright
30.0,12.5,12.0,0.9166666666666666,0.9983,0,12.5° to 30°,quadbright
