trial,condition,eccentricity,magnitude,correct,srt_ms,keyboard_rt_ms,pre_change_ms,valid
1,control,5.0,20,1,98.42729568481445,1582.7422142028809,1482,1
2,control,6.0,20,1,229.8588752746582,524.824857711792,1233,1
3,control,7.0,20,1,97.73731231689453,482.5153350830078,972,1
4,control,8.0,20,1,131.24394416809082,493.8769340515137,1471,1
5,control,9.0,20,1,494.549036026001,494.5483207702637,1264,1
6,control,10.0,20,1,490.0531768798828,490.0522232055664,1254,1
7,control,11.0,20,1,480.971097946167,480.9699058532715,1356,1
8,control,12.0,20,1,585.256814956665,585.2558612823486,1350,1
9,control,13.0,20,1,579.6449184417725,579.6449184417725,919,1
10,control,14.0,20,1,827.2631168365479,827.2550106048584,998,1
11,control,15.0,20,1,491.8041229248047,491.8022155761719,963,1
12,control,16.0,20,1,595.9091186523438,595.8981513977051,1259,1
13,control,17.0,20,1,494.2741394042969,494.27008628845215,1243,1
14,control,18.0,20,1,497.1756935119629,497.1728324890137,1249,1
15,control,19.0,20,1,505.0208568572998,505.0187110900879,834,1
16,control,20.0,20,1,692.8110122680664,692.8079128265381,950,1
17,control,21.0,20,1,6500.452756881714,6500.450849533081,1379,1
18,control,22.0,20,1,394.90413665771484,394.8991298675537,1075,1
19,control,23.0,20,1,790.8761501312256,790.8749580383301,1497,1
20,control,24.0,20,1,592.2479629516602,592.2408103942871,880,1
21,control,25.0,20,1,593.7299728393555,593.7230587005615,1458,1
22,control,26.0,20,1,501.7859935760498,501.77502632141113,861,1
23,control,27.0,20,0,403.03611755371094,403.0330181121826,1186,1
24,control,28.0,20,1,491.15514755249023,491.1520481109619,1257,0
25,control,28.0,20,1,630.0127506256104,630.0086975097656,1483,1
26,control,29.0,20,1,495.1181411743164,495.1171875,1481,0
27,control,29.0,20,1,726.9840240478516,726.9811630249023,852,1
28,control,30.0,20,1,529.5710563659668,529.5701026916504,940,1
29,control,5.0,20,1,98.31881523132324,483.66808891296387,1342,1
30,control,6.0,20,1,99.86615180969238,495.1143264770508,1107,0
31,control,6.0,20,1,99.96414184570312,494.7350025177002,1181,1
32,control,7.0,20,1,395.37906646728516,395.37715911865234,991,1
33,control,8.0,20,1,97.59807586669922,592.1511650085449,879,1
34,control,9.0,20,1,396.24595642089844,396.24500274658203,1462,1
