trial,condition,eccentricity,magnitude,correct,srt_ms,keyboard_rt_ms,pre_change_ms,valid
1,control,5.0,20,1,198.08697700500488,495.1150417327881,1395,1
2,control,6.0,20,1,394.8960304260254,394.8931694030762,1497,1
3,control,7.0,20,1,524.3818759918213,524.3780612945557,1336,1
4,control,8.0,20,1,198.134183883667,526.2022018432617,1277,0
5,control,8.0,20,1,482.759952545166,482.7589988708496,1322,1
6,control,9.0,20,1,493.1328296661377,493.1299686431885,988,1
7,control,10.0,20,1,491.9757843017578,491.9710159301758,1488,1
8,control,11.0,20,1,494.68207359313965,494.6720600128174,1495,1
9,control,12.0,20,1,393.97192001342773,393.9692974090576,949,1
10,control,13.0,20,1,582.7219486236572,582.7200412750244,908,1
11,control,14.0,20,1,482.5608730316162,482.5599193572998,1325,1
12,control,15.0,20,1,394.2890167236328,394.2859172821045,1270,1
13,control,16.0,20,1,485.20398139953613,485.2030277252197,1329,1
14,control,17.0,20,1,593.4908390045166,593.4860706329346,1457,0
15,control,17.0,20,1,497.09320068359375,497.089147567749,1367,1
16,control,18.0,20,1,494.76099014282227,494.76099014282227,954,1
17,control,19.0,20,1,602.8647422790527,602.8609275817871,947,1
18,control,20.0,20,1,525.8979797363281,525.8958339691162,820,1
19,control,21.0,20,1,494.6119785308838,494.610071182251,1297,1
20,control,22.0,20,1,494.28319931030273,494.2820072174072,978,1
21,control,23.0,20,1,494.51398849487305,494.51279640197754,1012,1
22,control,24.0,20,1,395.57504653930664,395.5719470977783,1486,1
23,control,25.0,20,1,526.1638164520264,526.1621475219727,931,1
24,control,26.0,20,1,427.0601272583008,427.05798149108887,933,1
25,control,27.0,20,1,505.43212890625,505.4290294647217,1351,1
26,control,28.0,20,1,592.2729969024658,592.2689437866211,1112,1
27,control,29.0,20,1,583.0998420715332,583.0991268157959,1144,1
28,control,30.0,20,1,494.8761463165283,494.8718547821045,1021,1
29,control,5.0,20,0,100.78215599060059,386.45195960998535,1170,1
30,control,6.0,20,1,198.32611083984375,494.4009780883789,1002,1
31,control,7.0,20,1,194.65279579162598,583.9827060699463,1019,1
32,control,8.0,20,1,496.0649013519287,496.0629940032959,803,1
33,control,9.0,20,1,591.9721126556396,591.9649600982666,1035,1
