trial,condition,eccentricity,magnitude,correct,srt_ms,keyboard_rt_ms,pre_change_ms,valid
1,control,5.0,20,1,97.56803512573242,427.109956741333,977,1
2,control,6.0,20,1,97.32604026794434,526.5789031982422,1337,1
3,control,7.0,20,1,197.77464866638184,625.4630088806152,968,1
4,control,8.0,20,1,99.03526306152344,933.8710308074951,867,1
5,control,9.0,20,1,395.48206329345703,395.4732418060303,1295,1
6,control,10.0,20,1,1033.0150127410889,1033.0121517181396,1267,1
7,control,11.0,20,1,525.5169868469238,525.5129337310791,1319,1
8,control,12.0,20,1,394.67692375183105,394.67501640319824,1307,1
9,control,13.0,20,1,494.59004402160645,494.5869445800781,1089,1
10,control,14.0,20,1,494.9688911437988,494.9648380279541,978,1
11,control,15.0,20,1,395.63512802124023,395.6341743469238,1456,1
12,control,16.0,20,1,394.6959972381592,394.69003677368164,1346,1
13,control,17.0,20,1,595.0181484222412,595.0181484222412,1179,1
14,control,18.0,20,1,794.6538925170898,794.6512699127197,909,1
15,control,19.0,20,1,1021.2030410766602,1021.2020874023438,968,1
16,control,20.0,20,1,429.1529655456543,429.1520118713379,1209,1
17,control,21.0,20,1,529.0670394897461,529.0632247924805,825,1
18,control,22.0,20,1,397.77612686157227,397.77493476867676,1345,1
19,control,23.0,20,1,497.0118999481201,497.0078468322754,876,1
20,control,24.0,20,1,395.9851264953613,395.9841728210449,1174,1
21,control,25.0,20,1,602.1518707275391,602.1499633789062,994,1
22,control,26.0,20,1,890.7718658447266,890.7670974731445,1156,1
23,control,27.0,20,1,993.6211109161377,993.6182498931885,1377,1
24,control,28.0,20,1,901.2598991394043,901.2579917907715,813,1
25,control,29.0,20,1,412.6429557800293,412.639856338501,1347,1
26,control,30.0,20,1,495.1510429382324,495.1479434967041,953,1
27,control,5.0,20,1,98.7548828125,494.6138858795166,1047,1
28,control,6.0,20,1,427.87790298461914,427.87623405456543,1324,1
29,control,7.0,20,1,99.26486015319824,396.3649272918701,900,1
30,control,8.0,20,1,527.2519588470459,527.2510051727295,1401,1
31,control,9.0,20,1,494.65298652648926,494.65203285217285,973,1
32,control,10.0,20,1,384.33098793029785,384.32979583740234,1363,1
33,control,11.0,20,1,495.1648712158203,495.1627254486084,897,1
34,control,12.0,20,1,494.9791431427002,494.9779510498047,1389,1
35,control,13.0,20,1,495.4948425292969,495.49388885498047,1183,1
36,control,14.0,20,1,384.22608375549316,384.22393798828125,1055,1
37,control,15.0,20,1,484.06314849853516,484.06195640563965,1010,1
38,control,16.0,20,1,494.5261478424072,494.5189952850342,1398,1
39,control,17.0,20,1,892.838716506958,892.8368091583252,1362,1
40,control,18.0,20,1,483.4933280944824,483.4921360015869,1408,1
41,control,19.0,20,1,494.67992782592773,494.6730136871338,1490,1
42,control,20.0,20,1,491.99795722961426,491.9869899749756,933,1
43,control,21.0,20,1,506.12401962280273,506.11090660095215,1373,1
44,control,22.0,20,1,596.8410968780518,596.8399047851562,1156,1
45,control,23.0,20,1,594.4578647613525,594.4499969482422,811,1
46,control,24.0,20,1,411.85617446899414,411.8540287017822,1140,1
47,control,25.0,20,1,514.8589611053467,514.8580074310303,1255,1
48,control,26.0,20,1,727.0889282226562,727.0848751068115,1424,1
49,control,27.0,20,1,625.9198188781738,625.9181499481201,1285,1
50,control,28.0,20,1,416.9931411743164,416.9921875,1018,1
51,control,29.0,20,1,496.54603004455566,496.54197692871094,1104,1
52,control,30.0,20,1,592.9121971130371,592.9062366485596,903,1
53,control,5.0,17,1,96.27819061279297,397.0611095428467,1258,1
54,control,6.0,17,1,98.43683242797852,880.1000118255615,1006,1
55,control,7.0,17,1,98.66595268249512,494.17591094970703,1448,1
56,control,8.0,17,1,401.57389640808105,401.57198905944824,1161,1
57,control,9.0,17,1,427.92797088623047,427.92606353759766,1090,1
58,control,10.0,17,1,529.0586948394775,529.0579795837402,1022,1
59,control,11.0,17,1,525.191068649292,525.1882076263428,1293,1
60,control,12.0,17,1,395.71404457092285,395.71309089660645,1075,1
61,control,13.0,17,1,492.6798343658447,492.6719665527344,1063,1
62,control,14.0,17,1,594.0039157867432,594.0029621124268,1411,1
63,control,15.0,17,1,494.21119689941406,494.2059516906738,955,1
64,control,16.0,17,1,595.2200889587402,595.2181816101074,1056,1
65,control,17.0,17,1,494.7371482849121,494.7361946105957,1474,1
66,control,18.0,17,1,988.8808727264404,988.8761043548584,1175,1
67,control,19.0,17,1,494.8580265045166,494.8570728302002,1074,1
68,control,20.0,17,1,1000.2810955047607,1000.2779960632324,1170,1
69,control,21.0,17,1,497.3459243774414,497.3430633544922,1194,1
70,control,22.0,17,1,504.78219985961914,504.7791004180908,1318,1
71,control,23.0,17,1,491.34182929992676,491.3358688354492,983,1
72,control,24.0,17,1,494.4579601287842,494.4570064544678,1498,1
73,control,25.0,17,1,596.9879627227783,596.98486328125,865,1
74,control,26.0,17,1,483.8283061981201,483.8273525238037,1138,1
75,control,27.0,17,1,483.3869934082031,483.3860397338867,828,1
76,control,28.0,17,1,396.13986015319824,396.13890647888184,833,1
77,control,29.0,17,1,493.5901165008545,493.5801029205322,1094,1
78,control,30.0,17,1,494.6248531341553,494.62389945983887,1173,1
79,control,5.0,17,1,98.97494316101074,494.8098659515381,936,1
80,control,6.0,17,1,97.6860523223877,384.8278522491455,947,1
81,control,7.0,17,1,98.42276573181152,494.5716857910156,1075,1
82,control,8.0,17,1,529.2439460754395,529.2401313781738,1181,1
83,control,9.0,17,1,97.14388847351074,494.2789077758789,1118,1
84,control,10.0,17,1,492.6950931549072,492.6872253417969,1276,1
85,control,11.0,17,1,1032.527208328247,1032.5231552124023,1267,1
86,control,12.0,17,1,507.8120231628418,507.8098773956299,1229,1
87,control,13.0,17,1,494.7240352630615,494.7199821472168,1465,1
88,control,14.0,17,1,591.3159847259521,591.3131237030029,1174,1
89,control,15.0,17,1,580.4588794708252,580.4579257965088,1492,1
90,control,16.0,17,1,495.16892433166504,495.1598644256592,1169,1
91,control,17.0,17,1,593.4109687805176,593.4090614318848,994,1
92,control,18.0,17,1,496.51193618774414,496.5097904205322,812,1
93,control,19.0,17,1,387.9880905151367,387.9849910736084,1265,1
94,control,20.0,17,1,583.9288234710693,583.9278697967529,1184,1
95,control,21.0,17,1,483.7303161621094,483.72912406921387,1287,1
96,control,22.0,17,1,498.66175651550293,498.6579418182373,1088,1
97,control,23.0,17,1,296.9388961791992,296.9379425048828,835,1
98,control,24.0,17,1,595.1900482177734,595.1852798461914,1467,1
99,control,25.0,17,1,482.1798801422119,482.1789264678955,918,1
100,control,26.0,17,1,397.72510528564453,397.723913192749,851,1
101,control,27.0,17,1,1120.5942630767822,1120.591163635254,1030,1
102,control,28.0,17,1,528.0318260192871,528.0308723449707,1472,1
103,control,29.0,17,1,428.4780025482178,428.47681045532227,1331,1
104,control,30.0,17,1,526.5040397644043,526.4987945556641,1436,1
105,control,5.0,14,1,498.30007553100586,498.29697608947754,1195,0
106,control,5.0,14,1,98.71697425842285,493.99709701538086,1440,1
107,control,6.0,14,1,493.78299713134766,493.78108978271484,834,1
108,control,7.0,14,1,98.87981414794922,494.3397045135498,1276,1
109,control,8.0,14,1,98.88386726379395,922.1057891845703,1020,1
110,control,9.0,14,1,1021.1341381072998,1021.1288928985596,946,1
111,control,10.0,14,1,723.7608432769775,723.7570285797119,1483,1
112,control,11.0,14,1,198.2870101928711,403.6741256713867,1099,1
113,control,12.0,14,1,494.77362632751465,494.769811630249,1410,1
114,control,13.0,14,1,404.20079231262207,404.19888496398926,1153,1
115,control,14.0,14,1,583.0860137939453,583.0850601196289,1457,1
116,control,15.0,14,1,505.02610206604004,505.0210952758789,852,1
117,control,16.0,14,1,493.7551021575928,493.7479496002197,1256,1
118,control,17.0,14,1,1022.68385887146,1022.6778984069824,1054,1
119,control,18.0,14,1,625.9398460388184,625.9357929229736,1103,1
120,control,19.0,14,1,824.5730400085449,824.5670795440674,918,1
121,control,20.0,14,1,496.05298042297363,496.0520267486572,852,1
122,control,21.0,14,1,494.3370819091797,494.33398246765137,835,1
123,control,22.0,14,1,494.0381050109863,494.0328598022461,818,1
124,control,23.0,14,1,485.4283332824707,485.4261875152588,964,1
125,control,24.0,14,1,527.4670124053955,527.4660587310791,915,1
126,control,25.0,14,1,485.9049320220947,485.9042167663574,1213,1
127,control,26.0,14,1,496.7942237854004,496.793270111084,1013,1
128,control,27.0,14,1,492.6328659057617,492.6297664642334,1341,1
129,control,28.0,14,1,593.6439037322998,593.6391353607178,1152,1
130,control,29.0,14,1,494.29821968078613,494.2951202392578,1136,1
131,control,30.0,14,1,297.5144386291504,297.51014709472656,1118,1
132,control,5.0,14,1,197.8311538696289,495.79334259033203,1312,1
133,control,6.0,14,1,98.94108772277832,495.2239990234375,1485,1
134,control,7.0,14,1,197.70121574401855,988.6081218719482,1130,1
135,control,8.0,14,1,395.92695236206055,395.92599868774414,913,1
136,control,9.0,14,1,98.00505638122559,394.6409225463867,1238,1
137,control,10.0,14,1,495.6939220428467,495.69177627563477,1437,1
138,control,11.0,14,1,395.80416679382324,395.80321311950684,1302,1
139,control,12.0,14,1,396.2688446044922,396.2669372558594,1008,1
140,control,13.0,14,1,637.4647617340088,637.4621391296387,1135,1
141,control,14.0,14,1,1109.1108322143555,1109.109878540039,1392,1
142,control,15.0,14,1,494.5952892303467,494.59099769592285,1234,1
143,control,16.0,14,1,494.7619438171387,494.76003646850586,1318,1
144,control,17.0,14,1,693.0758953094482,693.0699348449707,1321,1
145,control,18.0,14,1,428.54905128479004,428.5459518432617,863,1
146,control,19.0,14,1,495.3629970550537,495.3620433807373,1468,1
147,control,20.0,14,1,495.01895904541016,495.0089454650879,947,1
148,control,21.0,14,1,912.2860431671143,912.2850894927979,1250,1
149,control,22.0,14,1,494.3816661834717,494.37594413757324,969,1
150,control,23.0,14,1,505.9821605682373,505.9800148010254,1359,1
151,control,24.0,14,1,594.3353176116943,594.3260192871094,1056,1
152,control,25.0,14,1,395.31397819519043,395.3127861022949,1449,1
153,control,26.0,14,1,594.2492485046387,594.2461490631104,854,1
154,control,27.0,14,1,495.0220584869385,495.02086639404297,1005,1
155,control,28.0,14,1,591.0019874572754,590.9948348999023,1439,1
156,control,29.0,14,1,495.0439929962158,495.0430393218994,1424,1
157,control,30.0,14,1,593.9650535583496,593.9629077911377,869,1
158,control,5.0,11,1,582.5042724609375,582.503080368042,1200,1
159,control,6.0,11,1,494.7478771209717,494.74501609802246,1010,1
