trial,condition,eccentricity,magnitude,correct,srt_ms,keyboard_rt_ms,pre_change_ms,valid
1,control,5.0,20,1,100.64888000488281,494.22383308410645,1273,1
2,control,6.0,20,1,99.22909736633301,461.38691902160645,1270,1
3,control,7.0,20,1,167.1910285949707,626.6679763793945,1429,1
4,control,8.0,20,1,165.44413566589355,497.44510650634766,1191,1
5,control,9.0,20,1,173.60210418701172,404.1478633880615,1213,1
6,control,10.0,20,1,525.9530544281006,525.9480476379395,859,1
7,control,11.0,20,1,566.6868686676025,566.6790008544922,1183,1
8,control,12.0,20,1,128.28803062438965,548.3560562133789,830,1
9,control,13.0,20,1,359.93313789367676,359.93099212646484,824,1
10,control,14.0,20,1,493.8209056854248,493.8178062438965,828,1
11,control,15.0,20,1,362.1659278869629,362.1659278869629,1489,1
12,control,16.0,20,1,428.1148910522461,428.1127452850342,1020,1
13,control,17.0,20,1,527.5561809539795,527.554988861084,1204,1
14,control,18.0,20,1,500.6988048553467,500.69189071655273,1025,0
15,control,18.0,20,1,526.9970893859863,526.9930362701416,1138,1
16,control,19.0,20,1,494.260311126709,494.25601959228516,1461,1
17,control,20.0,20,1,485.17704010009766,485.17608642578125,922,1
18,control,21.0,20,1,496.25682830810547,496.25277519226074,1117,1
19,control,22.0,20,1,527.6877880096436,527.6858806610107,879,1
20,control,23.0,20,1,624.5958805084229,624.5858669281006,842,1
21,control,24.0,20,1,495.07617950439453,495.0730800628662,1374,1
22,control,25.0,20,1,497.4253177642822,497.4231719970703,1203,1
23,control,26.0,20,1,495.0518608093262,495.05090713500977,1294,1
24,control,27.0,20,1,561.0380172729492,561.0368251800537,1036,1
25,control,28.0,20,1,626.5780925750732,626.5740394592285,1193,1
26,control,29.0,20,1,525.7782936096191,525.7701873779297,875,1
27,control,30.0,20,1,584.0630531311035,584.0620994567871,932,1
28,control,5.0,20,1,164.2298698425293,393.70012283325195,833,1
29,control,6.0,20,1,130.9816837310791,460.37793159484863,978,1
30,control,7.0,20,1,100.55422782897949,362.92219161987305,1085,1
